epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,721.135,1.29483,2.54648,1.33491,0.90817,0.20835,0.3213,0.19988,1.18883,3.09956,1.22444,0.00054409,0.00054409,0.00054409
2,1448.83,1.23334,1.8581,1.32914,0.57053,0.54244,0.56228,0.35934,1.23466,2.49293,1.30109,0.00104532,0.00104532,0.00104532
3,2133.71,1.24203,1.66063,1.30189,0.63557,0.46878,0.53211,0.3347,1.29179,2.31469,1.39282,0.00149154,0.00149154,0.00149154
4,2818.05,1.22796,1.5645,1.30423,0.73987,0.63254,0.68584,0.43558,1.23246,1.83027,1.32352,0.00141945,0.00141945,0.00141945
5,5253.46,1.18578,1.48551,1.2947,0.78047,0.54752,0.63205,0.43898,1.21567,1.77733,1.36459,0.00133693,0.00133693,0.00133693
6,7068.73,1.14818,1.33179,1.25124,0.83976,0.71509,0.77162,0.53421,1.08991,1.34774,1.21322,0.00125442,0.00125442,0.00125442
7,8861.53,1.16121,1.3152,1.29151,0.84975,0.70826,0.79274,0.5615,1.07532,1.28133,1.22968,0.0011719,0.0011719,0.0011719
8,10622.1,1.08779,1.23378,1.22266,0.7758,0.74567,0.74699,0.52194,1.09818,1.29609,1.2265,0.00108938,0.00108938,0.00108938
9,12381.5,1.06061,1.14832,1.20727,0.86755,0.72244,0.7765,0.56982,1.00968,1.18875,1.17422,0.00100687,0.00100687,0.00100687
10,14143.6,1.05829,1.08166,1.19507,0.86792,0.78109,0.82577,0.59155,0.9654,1.11132,1.16816,0.000924352,0.000924352,0.000924352
