Tracking ID,Event Type,Timestamp
5,Entry,2026-08-06 14:14:33
5,Exit,2026-08-06 14:14:35
5,Entry,2026-08-06 14:14:35
5,Exit,2026-08-06 14:14:38
1,Entry,2026-08-06 14:14:57
1,Exit,2026-08-06 14:14:59
1,Entry,2026-08-06 14:15:02
11,Entry,2026-08-06 14:15:04
13,Entry,2026-08-06 14:15:11
11,Exit,2026-08-06 14:15:15
11,Entry,2026-08-06 14:15:18
13,Exit,2026-08-06 14:15:19
11,Exit,2026-08-06 14:15:20
13,Entry,2026-08-06 14:15:20
13,Exit,2026-08-06 14:15:21
11,Entry,2026-08-06 14:15:23
13,Entry,2026-08-06 14:15:23
11,Exit,2026-08-06 14:15:23
13,Exit,2026-08-06 14:15:24
1,Exit,2026-08-06 14:15:30
19,Entry,2026-08-06 14:15:52
23,Entry,2026-08-06 14:15:54
23,Exit,2026-08-06 14:15:59
19,Exit,2026-08-06 14:16:08
29,Entry,2026-08-06 14:16:10
20,Entry,2026-08-06 14:16:49
20,Exit,2026-08-06 14:17:04
41,Entry,2026-08-06 14:17:06
44,Entry,2026-08-06 14:17:14
