Person ID,Event,Time
5,Entered,2026-08-06 13:38:16
5,Exited,2026-08-06 13:38:17
5,Entered,2026-08-06 13:38:18
5,Exited,2026-08-06 13:38:20
1,Entered,2026-08-06 13:38:35
1,Exited,2026-08-06 13:38:37
1,Entered,2026-08-06 13:38:39
11,Entered,2026-08-06 13:38:40
13,Entered,2026-08-06 13:38:46
11,Exited,2026-08-06 13:38:50
11,Entered,2026-08-06 13:38:52
13,Exited,2026-08-06 13:38:53
11,Exited,2026-08-06 13:38:53
13,Entered,2026-08-06 13:38:54
13,Exited,2026-08-06 13:38:54
11,Entered,2026-08-06 13:38:56
13,Entered,2026-08-06 13:38:56
11,Exited,2026-08-06 13:38:56
13,Exited,2026-08-06 13:38:57
1,Exited,2026-08-06 13:39:02
19,Entered,2026-08-06 13:39:19
23,Entered,2026-08-06 13:39:20
23,Exited,2026-08-06 13:39:24
19,Exited,2026-08-06 13:39:32
29,Entered,2026-08-06 13:39:34
20,Entered,2026-08-06 13:40:04
20,Exited,2026-08-06 13:40:17
41,Entered,2026-08-06 13:40:19
44,Entered,2026-08-06 13:40:26
