Frame,Track ID,Confidence
1,1,0.91
1,2,0.9
1,3,0.9
1,4,0.84
1,5,0.78
1,6,0.63
2,1,0.91
2,2,0.9
2,3,0.9
2,4,0.78
2,5,0.71
2,6,0.65
3,1,0.91
3,2,0.9
3,3,0.91
3,4,0.79
3,5,0.56
3,6,0.67
3,7,0.67
4,1,0.91
4,2,0.9
4,3,0.9
4,4,0.8
4,6,0.7
4,7,0.65
5,1,0.91
5,2,0.89
5,3,0.87
5,4,0.81
5,6,0.68
5,7,0.58
6,1,0.9
6,2,0.89
6,3,0.88
6,4,0.8
6,6,0.66
6,7,0.51
7,1,0.89
7,2,0.88
7,3,0.9
7,4,0.77
7,6,0.64
7,7,0.58
8,1,0.88
8,2,0.87
8,3,0.9
8,4,0.78
8,6,0.64
8,7,0.6
9,1,0.87
9,2,0.88
9,3,0.9
9,4,0.78
9,6,0.67
9,7,0.59
9,8,0.52
10,1,0.86
10,2,0.86
10,3,0.89
10,4,0.8
10,6,0.67
10,7,0.51
10,8,0.51
11,1,0.85
11,2,0.87
11,3,0.9
11,4,0.81
11,6,0.69
11,7,0.58
12,1,0.85
12,2,0.87
12,3,0.9
12,4,0.8
12,6,0.71
12,7,0.64
13,1,0.86
13,2,0.87
13,3,0.89
13,4,0.83
13,6,0.74
13,7,0.56
14,1,0.87
14,2,0.9
14,3,0.87
14,4,0.83
14,6,0.73
15,1,0.88
15,2,0.91
15,3,0.87
15,4,0.84
15,6,0.7
16,1,0.88
16,2,0.9
16,3,0.88
16,4,0.83
16,6,0.7
17,1,0.88
17,2,0.91
17,3,0.88
17,4,0.83
17,6,0.73
18,1,0.88
18,2,0.91
18,3,0.88
18,4,0.84
18,6,0.71
19,1,0.88
19,2,0.91
19,3,0.88
19,4,0.85
19,6,0.69
20,1,0.88
20,2,0.91
20,3,0.87
20,4,0.85
20,6,0.66
21,1,0.9
21,2,0.91
21,3,0.88
21,4,0.87
21,6,0.7
22,1,0.89
22,2,0.91
22,3,0.88
22,4,0.87
22,6,0.71
22,7,0.59
23,1,0.9
23,2,0.9
23,3,0.89
23,4,0.89
23,6,0.71
23,7,0.68
24,1,0.91
24,2,0.88
24,3,0.88
24,4,0.88
24,6,0.72
24,7,0.71
25,1,0.9
25,2,0.9
25,3,0.9
25,4,0.86
25,6,0.72
25,7,0.69
25,10,0.51
26,1,0.9
26,2,0.9
26,3,0.9
26,4,0.87
26,6,0.7
26,7,0.68
27,1,0.9
27,2,0.91
27,3,0.91
27,4,0.87
27,6,0.7
27,7,0.71
27,8,0.51
28,1,0.9
28,2,0.9
28,3,0.9
28,4,0.87
28,6,0.71
28,7,0.72
29,1,0.9
29,2,0.9
29,3,0.9
29,4,0.87
29,6,0.71
29,7,0.72
29,12,0.55
29,8,0.52
30,1,0.9
30,2,0.9
30,3,0.91
30,4,0.86
30,6,0.73
30,7,0.6
30,12,0.65
30,8,0.52
31,1,0.9
31,2,0.91
31,3,0.91
31,4,0.84
31,6,0.7
31,7,0.59
32,1,0.89
32,2,0.91
32,3,0.91
32,4,0.84
32,6,0.68
32,12,0.57
33,1,0.88
33,2,0.91
33,3,0.91
33,4,0.84
33,6,0.69
33,7,0.53
34,1,0.88
34,2,0.91
34,3,0.89
34,4,0.84
34,6,0.69
34,7,0.57
34,8,0.51
35,1,0.87
35,2,0.92
35,3,0.9
35,4,0.85
35,6,0.7
35,7,0.64
36,1,0.88
36,2,0.92
36,3,0.89
36,4,0.84
36,6,0.69
36,7,0.7
36,12,0.52
36,8,0.51
37,1,0.88
37,2,0.91
37,3,0.89
37,4,0.85
37,6,0.71
37,7,0.7
37,8,0.55
38,1,0.89
38,2,0.91
38,3,0.89
38,4,0.84
38,6,0.71
38,7,0.65
39,1,0.88
39,2,0.92
39,3,0.89
39,4,0.84
39,6,0.69
39,7,0.72
40,1,0.89
40,2,0.91
40,3,0.9
40,4,0.83
40,6,0.72
40,7,0.71
40,8,0.51
41,1,0.87
41,2,0.91
41,3,0.9
41,4,0.82
41,6,0.72
41,7,0.68
42,1,0.86
42,2,0.92
42,3,0.9
42,4,0.8
42,6,0.71
42,7,0.69
43,1,0.86
43,2,0.92
43,3,0.9
43,4,0.81
43,6,0.67
43,7,0.65
43,8,0.52
44,1,0.87
44,2,0.92
44,3,0.9
44,4,0.81
44,6,0.67
44,7,0.68
44,8,0.54
45,1,0.86
45,2,0.92
45,3,0.9
45,4,0.81
45,6,0.69
45,7,0.69
45,8,0.55
45,15,0.67
46,1,0.85
46,2,0.93
46,3,0.91
46,4,0.83
46,6,0.69
46,7,0.72
46,8,0.51
46,15,0.69
47,1,0.87
47,2,0.93
47,3,0.91
47,4,0.82
47,6,0.69
47,7,0.69
47,15,0.69
48,1,0.87
48,2,0.93
48,3,0.91
48,4,0.82
48,6,0.69
48,7,0.63
48,15,0.66
49,1,0.86
49,2,0.93
49,3,0.89
49,4,0.83
49,6,0.71
49,7,0.55
49,15,0.62
49,8,0.51
50,1,0.85
50,2,0.91
50,3,0.89
50,4,0.84
50,6,0.71
50,15,0.57
50,17,0.62
51,1,0.85
51,2,0.91
51,3,0.89
51,4,0.85
51,6,0.71
51,15,0.61
51,17,0.61
52,1,0.87
52,2,0.93
52,3,0.89
52,4,0.84
52,6,0.7
52,15,0.61
52,17,0.64
53,1,0.86
53,2,0.93
53,3,0.88
53,4,0.84
53,6,0.67
53,15,0.52
53,17,0.68
54,1,0.85
54,2,0.93
54,3,0.88
54,4,0.84
54,6,0.68
54,17,0.66
54,7,0.65
55,1,0.86
55,2,0.92
55,3,0.89
55,4,0.85
55,6,0.68
55,17,0.66
55,7,0.55
56,1,0.87
56,2,0.93
56,3,0.9
56,4,0.85
56,6,0.72
56,17,0.57
56,7,0.55
56,15,0.51
57,1,0.87
57,2,0.93
57,3,0.9
57,4,0.86
57,6,0.73
57,7,0.65
58,1,0.88
58,2,0.93
58,3,0.9
58,4,0.85
58,6,0.74
58,7,0.68
59,1,0.88
59,2,0.93
59,3,0.9
59,4,0.85
59,6,0.71
59,7,0.52
59,17,0.51
60,1,0.89
60,2,0.93
60,3,0.9
60,4,0.87
60,6,0.73
60,7,0.56
61,1,0.9
61,2,0.92
61,3,0.89
61,4,0.87
61,6,0.71
61,7,0.52
62,1,0.89
62,2,0.91
62,3,0.88
62,4,0.86
62,6,0.71
62,7,0.53
63,1,0.88
63,2,0.91
63,3,0.87
63,4,0.86
63,6,0.7
63,7,0.65
64,1,0.86
64,2,0.92
64,3,0.87
64,4,0.86
64,6,0.71
64,7,0.65
64,20,0.7
65,1,0.86
65,2,0.91
65,3,0.89
65,4,0.87
65,6,0.72
65,7,0.6
65,20,0.71
66,1,0.86
66,2,0.89
66,3,0.88
66,4,0.87
66,6,0.73
66,7,0.58
66,20,0.62
67,1,0.86
67,2,0.88
67,3,0.89
67,4,0.88
67,6,0.72
67,7,0.51
67,20,0.57
67,15,0.58
68,1,0.86
68,2,0.89
68,3,0.9
68,4,0.88
68,6,0.71
68,20,0.56
68,15,0.56
68,12,0.54
69,1,0.85
69,2,0.9
69,3,0.9
69,4,0.87
69,6,0.69
69,20,0.56
69,15,0.51
69,23,0.64
70,1,0.84
70,2,0.88
70,3,0.9
70,4,0.88
70,6,0.71
70,20,0.56
70,23,0.69
70,7,0.51
71,1,0.81
71,2,0.88
71,3,0.9
71,4,0.89
71,6,0.72
71,20,0.6
71,23,0.74
71,7,0.5
72,1,0.81
72,2,0.89
72,3,0.9
72,4,0.89
72,6,0.73
72,20,0.67
72,23,0.72
72,7,0.52
73,1,0.85
73,2,0.9
73,3,0.9
73,4,0.89
73,6,0.73
73,20,0.65
73,23,0.74
73,7,0.51
73,8,0.51
74,1,0.84
74,2,0.89
74,3,0.89
74,4,0.89
74,6,0.7
74,20,0.63
74,23,0.77
74,8,0.51
75,1,0.8
75,2,0.88
75,3,0.87
75,4,0.9
75,6,0.68
75,20,0.61
75,23,0.76
75,8,0.51
75,7,0.53
76,1,0.8
76,2,0.88
76,3,0.86
76,4,0.89
76,6,0.65
76,20,0.62
76,23,0.79
76,7,0.56
77,1,0.81
77,2,0.91
77,3,0.86
77,4,0.89
77,6,0.65
77,20,0.6
77,23,0.76
77,7,0.57
78,1,0.81
78,2,0.91
78,3,0.86
78,4,0.88
78,6,0.64
78,20,0.58
78,23,0.75
78,7,0.54
79,1,0.82
79,2,0.89
79,3,0.87
79,4,0.87
79,6,0.64
79,23,0.74
79,7,0.54
80,1,0.81
80,2,0.91
80,3,0.87
80,4,0.87
80,6,0.62
80,23,0.72
80,7,0.65
81,1,0.83
81,2,0.92
81,3,0.88
81,4,0.87
81,6,0.64
81,23,0.7
81,7,0.67
82,1,0.82
82,2,0.92
82,3,0.88
82,4,0.87
82,6,0.66
82,23,0.73
82,7,0.71
82,24,0.5
83,1,0.81
83,2,0.91
83,3,0.88
83,4,0.87
83,6,0.66
83,23,0.76
83,7,0.71
83,24,0.63
84,1,0.79
84,2,0.9
84,3,0.88
84,4,0.86
84,6,0.64
84,23,0.72
84,7,0.66
84,24,0.58
84,20,0.52
85,1,0.77
85,2,0.85
85,3,0.87
85,4,0.85
85,6,0.62
85,23,0.76
85,7,0.61
85,24,0.59
86,1,0.76
86,2,0.86
86,3,0.87
86,4,0.86
86,6,0.61
86,23,0.77
86,24,0.61
87,1,0.75
87,2,0.84
87,3,0.88
87,4,0.85
87,6,0.51
87,23,0.8
87,24,0.67
88,1,0.78
88,2,0.68
88,3,0.88
88,4,0.86
88,23,0.84
88,24,0.76
88,20,0.53
88,7,0.54
89,1,0.79
89,2,0.69
89,3,0.88
89,4,0.9
89,23,0.83
89,24,0.81
90,1,0.8
90,2,0.79
90,3,0.88
90,4,0.89
90,23,0.76
90,24,0.79
90,7,0.59
91,1,0.79
91,2,0.85
91,3,0.88
91,4,0.9
91,23,0.81
91,24,0.8
91,7,0.62
92,1,0.82
92,2,0.88
92,3,0.88
92,4,0.9
92,23,0.78
92,24,0.81
92,7,0.55
93,1,0.83
93,2,0.86
93,3,0.88
93,4,0.91
93,23,0.78
93,24,0.82
93,7,0.51
93,29,0.65
94,1,0.82
94,2,0.88
94,3,0.89
94,4,0.92
94,23,0.79
94,24,0.78
94,7,0.62
94,29,0.66
95,1,0.82
95,2,0.88
95,3,0.89
95,4,0.92
95,23,0.74
95,24,0.77
95,7,0.68
95,29,0.7
96,1,0.83
96,2,0.87
96,3,0.9
96,4,0.91
96,23,0.63
96,24,0.77
96,7,0.66
96,29,0.74
97,1,0.85
97,2,0.87
97,3,0.9
97,4,0.91
97,23,0.62
97,24,0.74
97,7,0.6
97,29,0.79
98,1,0.86
98,2,0.87
98,3,0.9
98,4,0.9
98,23,0.66
98,24,0.72
98,7,0.57
98,29,0.77
98,30,0.55
99,1,0.85
99,2,0.88
99,3,0.9
99,4,0.91
99,24,0.71
99,7,0.59
99,29,0.76
99,30,0.71
100,1,0.86
100,2,0.87
100,3,0.91
100,4,0.91
100,24,0.63
100,7,0.57
100,29,0.82
100,30,0.74
101,1,0.88
101,2,0.86
101,3,0.92
101,4,0.91
101,24,0.74
101,7,0.56
101,29,0.84
101,30,0.78
102,1,0.88
102,2,0.84
102,3,0.92
102,4,0.91
102,24,0.72
102,29,0.86
102,30,0.78
103,1,0.89
103,2,0.8
103,3,0.92
103,4,0.91
103,24,0.73
103,29,0.87
103,30,0.75
103,7,0.53
104,1,0.89
104,2,0.81
104,3,0.92
104,4,0.91
104,24,0.65
104,29,0.88
104,30,0.73
105,1,0.91
105,2,0.83
105,3,0.92
105,4,0.91
105,24,0.68
105,29,0.86
105,30,0.69
106,1,0.89
106,2,0.79
106,3,0.92
106,4,0.92
106,24,0.62
106,29,0.86
106,30,0.67
106,23,0.52
107,1,0.88
107,2,0.8
107,3,0.91
107,4,0.92
107,24,0.51
107,29,0.85
107,30,0.69
108,1,0.87
108,2,0.8
108,3,0.92
108,4,0.92
108,29,0.86
108,30,0.66
109,1,0.88
109,2,0.78
109,3,0.92
109,4,0.92
109,29,0.85
109,30,0.6
109,23,0.5
110,1,0.89
110,2,0.79
110,3,0.92
110,4,0.92
110,29,0.86
110,30,0.66
111,1,0.88
111,2,0.79
111,3,0.92
111,4,0.92
111,29,0.85
111,30,0.57
111,32,0.57
112,1,0.89
112,2,0.74
112,3,0.92
112,4,0.91
112,29,0.86
112,32,0.52
113,1,0.89
113,2,0.71
113,3,0.92
113,4,0.9
113,29,0.86
113,32,0.5
113,6,0.54
113,7,0.51
114,1,0.88
114,2,0.7
114,3,0.92
114,4,0.9
114,29,0.86
114,32,0.59
114,34,0.69
114,7,0.72
115,1,0.87
115,2,0.7
115,3,0.91
115,4,0.89
115,29,0.85
115,32,0.58
115,34,0.61
115,7,0.69
115,30,0.59
116,1,0.86
116,2,0.72
116,3,0.9
116,4,0.89
116,29,0.88
116,32,0.5
116,7,0.72
116,30,0.64
117,1,0.85
117,2,0.72
117,3,0.89
117,4,0.89
117,29,0.88
117,7,0.72
117,30,0.66
117,34,0.53
118,1,0.84
118,2,0.64
118,3,0.87
118,4,0.88
118,29,0.88
118,7,0.7
118,30,0.63
118,34,0.62
119,1,0.83
119,2,0.59
119,3,0.85
119,4,0.89
119,29,0.89
119,7,0.71
119,30,0.62
120,1,0.76
120,2,0.59
120,3,0.85
120,4,0.88
120,29,0.89
120,7,0.67
120,30,0.62
121,1,0.74
121,2,0.66
121,3,0.86
121,4,0.88
121,29,0.88
121,7,0.72
121,30,0.69
122,1,0.74
122,2,0.68
122,3,0.84
122,4,0.89
122,29,0.87
122,7,0.74
122,30,0.65
122,36,0.57
123,1,0.75
123,2,0.64
123,3,0.86
123,4,0.9
123,29,0.87
123,7,0.76
123,30,0.64
123,36,0.59
124,1,0.71
124,2,0.63
124,3,0.87
124,4,0.91
124,29,0.88
124,7,0.76
124,30,0.51
124,36,0.57
125,1,0.67
125,2,0.62
125,3,0.87
125,4,0.9
125,29,0.89
125,7,0.7
125,30,0.56
125,36,0.57
126,1,0.65
126,2,0.6
126,3,0.87
126,4,0.9
126,29,0.89
126,7,0.65
126,30,0.56
126,36,0.58
127,1,0.65
127,3,0.87
127,4,0.9
127,29,0.9
127,30,0.58
127,36,0.56
128,1,0.6
128,3,0.87
128,4,0.9
128,29,0.9
128,30,0.56
128,36,0.53
128,7,0.6
129,1,0.63
129,3,0.87
129,4,0.9
129,29,0.91
129,36,0.56
130,1,0.63
130,3,0.88
130,4,0.91
130,29,0.91
130,36,0.57
131,1,0.55
131,3,0.87
131,4,0.91
131,29,0.9
131,36,0.51
131,7,0.52
132,1,0.61
132,3,0.87
132,4,0.91
132,29,0.9
132,7,0.53
132,30,0.51
133,1,0.55
133,3,0.89
133,4,0.91
133,29,0.9
133,7,0.57
134,3,0.9
134,4,0.91
134,29,0.9
134,7,0.59
134,30,0.5
135,3,0.9
135,4,0.92
135,29,0.9
135,7,0.56
136,3,0.9
136,4,0.92
136,29,0.91
136,7,0.58
137,3,0.9
137,4,0.92
137,29,0.9
137,7,0.62
137,36,0.53
138,3,0.89
138,4,0.92
138,29,0.9
138,7,0.63
138,36,0.59
139,3,0.89
139,4,0.92
139,29,0.9
139,7,0.54
139,36,0.6
140,3,0.9
140,4,0.91
140,29,0.89
140,7,0.6
140,36,0.66
141,3,0.9
141,4,0.91
141,29,0.89
141,7,0.59
141,36,0.72
141,30,0.54
142,3,0.9
142,4,0.91
142,29,0.89
142,7,0.52
142,36,0.73
142,30,0.56
143,3,0.9
143,4,0.9
143,29,0.9
143,7,0.55
143,36,0.73
143,30,0.56
144,3,0.89
144,4,0.91
144,29,0.91
144,7,0.54
144,36,0.73
144,30,0.58
145,3,0.89
145,4,0.92
145,29,0.91
145,7,0.55
145,36,0.76
145,30,0.55
146,3,0.89
146,4,0.92
146,29,0.92
146,7,0.53
146,36,0.76
146,30,0.68
147,3,0.89
147,4,0.91
147,29,0.91
147,7,0.56
147,36,0.73
147,30,0.73
148,3,0.9
148,4,0.91
148,29,0.91
148,7,0.52
148,36,0.71
148,30,0.8
149,3,0.89
149,4,0.91
149,29,0.92
149,36,0.7
149,30,0.8
150,3,0.9
150,4,0.9
150,29,0.93
150,36,0.68
150,30,0.75
150,7,0.51
151,3,0.9
151,4,0.9
151,29,0.93
151,36,0.7
151,30,0.75
152,3,0.9
152,4,0.9
152,29,0.93
152,36,0.7
152,30,0.65
152,7,0.51
153,3,0.9
153,4,0.9
153,29,0.93
153,36,0.7
153,30,0.67
154,3,0.9
154,4,0.91
154,29,0.93
154,36,0.68
154,30,0.53
154,7,0.57
155,3,0.9
155,4,0.9
155,29,0.93
155,36,0.67
155,30,0.53
155,41,0.66
155,7,0.55
156,3,0.9
156,4,0.9
156,29,0.92
156,36,0.68
156,30,0.66
156,41,0.57
156,7,0.5
157,3,0.9
157,4,0.91
157,29,0.91
157,36,0.69
157,30,0.67
157,41,0.67
157,7,0.56
158,3,0.91
158,4,0.91
158,29,0.9
158,36,0.75
158,30,0.72
158,41,0.58
158,7,0.61
158,42,0.58
159,3,0.91
159,4,0.91
159,29,0.9
159,36,0.77
159,30,0.76
159,41,0.5
159,7,0.63
159,42,0.59
160,3,0.91
160,4,0.91
160,29,0.9
160,36,0.79
160,30,0.75
160,7,0.63
160,42,0.64
161,3,0.91
161,4,0.92
161,29,0.9
161,36,0.79
161,30,0.79
161,7,0.61
161,42,0.62
162,3,0.91
162,4,0.92
162,29,0.92
162,36,0.79
162,30,0.79
162,7,0.64
162,42,0.59
163,3,0.9
163,4,0.91
163,29,0.91
163,36,0.79
163,30,0.75
163,7,0.61
163,42,0.57
163,43,0.55
163,41,0.51
164,3,0.89
164,4,0.92
164,29,0.92
164,36,0.77
164,30,0.66
164,7,0.65
164,42,0.5
164,43,0.58
165,3,0.89
165,4,0.92
165,29,0.92
165,36,0.79
165,30,0.65
165,7,0.67
165,43,0.55
166,3,0.88
166,4,0.92
166,29,0.9
166,36,0.79
166,30,0.58
166,7,0.66
166,43,0.52
166,41,0.61
167,3,0.88
167,4,0.92
167,29,0.91
167,36,0.79
167,30,0.55
167,7,0.66
167,43,0.5
167,41,0.59
168,3,0.88
168,4,0.93
168,29,0.91
168,36,0.79
168,30,0.52
168,7,0.56
168,41,0.57
169,3,0.88
169,4,0.93
169,29,0.89
169,36,0.78
169,30,0.57
169,7,0.52
169,41,0.56
169,43,0.51
170,3,0.88
170,4,0.93
170,29,0.87
170,36,0.8
170,30,0.61
170,7,0.5
170,41,0.53
170,43,0.6
171,3,0.88
171,4,0.94
171,29,0.87
171,36,0.82
171,30,0.66
171,7,0.52
171,43,0.61
172,3,0.86
172,4,0.93
172,29,0.87
172,36,0.82
172,30,0.64
172,7,0.55
172,43,0.61
173,3,0.84
173,4,0.93
173,29,0.86
173,36,0.83
173,30,0.63
173,7,0.59
173,43,0.64
173,45,0.53
173,41,0.51
174,3,0.79
174,4,0.93
174,29,0.85
174,36,0.83
174,30,0.61
174,7,0.73
174,43,0.64
175,3,0.7
175,4,0.92
175,29,0.85
175,36,0.78
175,30,0.59
175,7,0.69
175,43,0.59
176,3,0.6
176,4,0.92
176,29,0.85
176,36,0.64
176,30,0.58
176,7,0.65
176,43,0.62
177,4,0.92
177,29,0.85
177,36,0.74
177,30,0.54
177,43,0.68
178,4,0.91
178,29,0.85
178,30,0.5
178,43,0.63
178,49,0.64
178,41,0.58
178,7,0.64
179,4,0.88
179,29,0.85
179,30,0.53
179,43,0.71
179,49,0.59
179,7,0.66
180,29,0.87
180,43,0.76
180,49,0.59
181,29,0.86
181,43,0.59
181,49,0.82
181,30,0.52
182,29,0.85
182,49,0.7
182,3,0.57
183,29,0.83
183,49,0.7
183,50,0.58
183,3,0.75
184,29,0.83
184,49,0.77
184,50,0.73
184,3,0.8
184,53,0.79
185,29,0.82
185,49,0.58
185,3,0.83
185,53,0.8
185,36,0.82
186,29,0.75
186,49,0.76
186,3,0.85
186,53,0.84
186,54,0.53
186,36,0.85
186,45,0.54
187,49,0.77
187,3,0.86
187,53,0.84
187,54,0.87
187,36,0.85
187,45,0.64
188,49,0.73
188,3,0.86
188,53,0.85
188,54,0.86
188,36,0.84
188,45,0.68
188,4,0.83
189,49,0.66
189,3,0.86
189,53,0.86
189,54,0.81
189,36,0.85
189,45,0.69
189,4,0.9
190,49,0.82
190,3,0.85
190,53,0.86
190,54,0.83
190,36,0.86
190,45,0.73
190,4,0.92
191,49,0.64
191,3,0.82
191,53,0.87
191,54,0.81
191,36,0.85
191,45,0.75
191,4,0.91
191,30,0.58
192,49,0.69
192,3,0.79
192,53,0.87
